Label;indegree;outdegree;Degree;modularity_class;eigencentrality;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;X;Y;Size;Color
chilucuu;0;1;1;219;0;1;1;1;0;0.267159;0.685658;0;"#c0c0c0"
dumplingg222;0;1;1;707;0;1;1;1;0;0.930874;0.530107;0;"#c0c0c0"
vanssainz;1;0;1;707;0.004568;0;0;0;0;0.949741;0.541047;0;"#c0c0c0"
ganjaransejati;0;1;1;120;0;1;1;1;0;0.390618;0.594774;0;"#005c50"
kafkahi8;0;2;2;633;0;1;1;1;0;0.737529;0.379157;0.005848;"#c0c0c0"
dlbch;1;0;1;633;0.004568;0;0;0;0;0.779332;0.391848;0;"#c0c0c0"
Kemanggisan_DKI;0;6;6;246;0;1;1;1;0;0.420403;0.578431;0.02924;"#35b3ff"
Bisniscom;1;0;1;246;0.004568;0;0;0;0;0.35238;0.618907;0;"#35b3ff"
MuammarNst84;0;2;2;536;0;1;1;1;0;0.388164;0.435174;0.005848;"#ffa584"
ZUL_Hasan;1;0;1;536;0.004568;0;0;0;0;0.314681;0.42714;0;"#ffa584"
katanashihotaru;0;1;1;708;0;1;1;1;0;0.514325;1;0;"#c0c0c0"
randygoh;1;0;1;708;0.004568;0;0;0;0;0.530523;0.998223;0;"#c0c0c0"
ur_eternalbliss;0;2;2;709;0;1;1;1;0;0.292212;0.132734;0.005848;"#c0c0c0"
rmol_id;2;0;2;709;0.009136;0;0;0;0;0.317551;0.123202;0.005848;"#c0c0c0"
teukufathuredwr;1;0;1;709;0.004568;0;0;0;0;0.303309;0.143273;0;"#c0c0c0"
SillyActions;1;0;1;618;0.004568;0;0;0;0;0.719494;0.720827;0;"#ff56b5"
dikkidoz;0;1;1;618;0;1;1;1;0;0.416884;0.685547;0;"#ff56b5"
notme6540632835;0;1;1;282;0;1;1;1;0;0.278672;0.539878;0;"#ff5166"
kyoucgbae;1;0;1;578;0.004568;0;0;0;0;0.234219;0.227232;0;"#c0c0c0"
keliklikin;0;1;1;536;0;1;1;1;0;0.569844;0.428574;0;"#ffa584"
jujursikasian;0;9;9;710;0;1;1;1;0;0.443661;0.89641;0.046784;"#c0c0c0"
suisentaur;1;0;1;710;0.004568;0;0;0;0;0.441913;0.882003;0;"#c0c0c0"
klaukezia;1;0;1;710;0.004568;0;0;0;0;0.460845;0.912656;0;"#c0c0c0"
shienlyliong;1;0;1;710;0.004568;0;0;0;0;0.430465;0.872803;0;"#c0c0c0"
momochaamm;1;0;1;710;0.004568;0;0;0;0;0.455342;0.885769;0;"#c0c0c0"
Kopipedia_;1;0;1;710;0.004568;0;0;0;0;0.414497;0.907933;0;"#c0c0c0"
asahinasae;1;0;1;710;0.004568;0;0;0;0;0.426607;0.91612;0;"#c0c0c0"
miomawla;1;0;1;710;0.004568;0;0;0;0;0.469875;0.880809;0;"#c0c0c0"
rereweee;1;0;1;710;0.004568;0;0;0;0;0.470931;0.89457;0;"#c0c0c0"
Crimson_host;1;0;1;710;0.004568;0;0;0;0;0.429584;0.889602;0;"#c0c0c0"
Ronjuror;0;1;1;711;0;1;1;1;0;0.834486;0.872338;0;"#c0c0c0"
bumblesupremacy;1;0;1;711;0.004568;0;0;0;0;0.821891;0.882531;0;"#c0c0c0"
g_gjw;0;1;1;163;0;1;1;1;0;0.397983;0.705841;0;"#4d6400"
AliminHerman;1;0;1;120;0.004568;0;0;0;0;0.421365;0.635134;0;"#005c50"
kawan_senja;0;2;2;219;0;1;1;1;0;0.262824;0.669206;0.005848;"#c0c0c0"
is_deis;1;0;1;219;0.004568;0;0;0;0;0.228798;0.660749;0;"#c0c0c0"
minethereale;1;0;1;75;0.100953;0;0;0;0;0.878878;0.545708;0;"#00e3ff"
Fajar_al_fakir;0;2;2;120;0;1;1;1;0;0.231342;0.518861;0.005848;"#005c50"
setiadjit;1;0;1;120;0.004568;0;0;0;0;0.192267;0.531238;0;"#005c50"
elfardeyhaq;0;1;1;712;0;1;1;1;0;0.397;0.052174;0;"#c0c0c0"
eRifqi;1;0;1;712;0.004568;0;0;0;0;0.395267;0.078402;0;"#c0c0c0"
WisanggeniLagi;0;1;1;337;0;1;1;1;0;0.44503;0.839519;0;"#5d426a"
KANGKOMENJKT;0;1;1;120;0;1;1;1;0;0.265923;0.477463;0;"#005c50"
saluutnihh;0;1;1;320;0;1;1;1;0;0.140812;0.466569;0;"#c0c0c0"
frezifresh;1;0;1;75;0.100953;0;0;0;0;0.824041;0.485759;0;"#00e3ff"
ayomicchi;0;1;1;713;0;1;1;1;0;0.95879;0.301522;0;"#c0c0c0"
zakiberkata;1;0;1;713;0.004568;0;0;0;0;0.931465;0.298628;0;"#c0c0c0"
sound_of_dboys;0;1;1;714;0;1;1;1;0;0.412088;0.050238;0;"#c0c0c0"
beautydyah;1;0;1;714;0.004568;0;0;0;0;0.428062;0.042728;0;"#c0c0c0"
R_PradanaNEW;0;1;1;715;0;1;1;1;0;0.212117;0.837339;0;"#c0c0c0"
minnaypon;1;0;1;715;0.004568;0;0;0;0;0.218077;0.862651;0;"#c0c0c0"
ar_hman;0;1;1;359;0;1;1;1;0;0.581456;0.609353;0;"#ff86ff"
Ricky_Jeo;0;1;1;120;0;1;1;1;0;0.236956;0.481037;0;"#005c50"
lelahbangetz;1;0;1;370;0.004568;0;0;0;0;0.356172;0.783847;0;"#c0c0c0"
nunuwdy;1;0;1;370;0.004568;0;0;0;0;0.349824;0.749118;0;"#c0c0c0"
Arimj1993;0;3;3;158;0;1;1;1;0;0.721596;0.325167;0.011696;"#853b22"
noegrahaha;1;0;1;158;0.004568;0;0;0;0;0.752254;0.335136;0;"#853b22"
cordeeIia;1;0;1;158;0.004568;0;0;0;0;0.760592;0.346121;0;"#853b22"
taktumbang17968;0;4;4;536;0;1;1;1;0;0.514133;0.379386;0.017544;"#ffa584"
KementerianESDM;5;0;5;536;0.02284;0;0;0;0;0.50723;0.39534;0.023392;"#ffa584"
m_saiful_arif12;0;1;1;359;0;2;0.666667;0.75;0;0.653015;0.630063;0;"#ff86ff"
haiadem;0;1;1;158;0;1;1;1;0;0.656252;0.282849;0;"#853b22"
seongminf;0;2;2;716;0;1;1;1;0;0.061197;0.584571;0.005848;"#c0c0c0"
simjaleyun;1;0;1;716;0.004568;0;0;0;0;0.06097;0.610977;0;"#c0c0c0"
leeheeseunn;1;0;1;716;0.004568;0;0;0;0;0.070764;0.559674;0;"#c0c0c0"
Sutan_siagian;0;1;1;148;0;1;1;1;0;0.726472;0.305581;0;"#00a7d4"
sawiputihtelor;0;2;2;246;0;2;0.75;0.833333;0;0.403459;0.507752;0.005848;"#35b3ff"
teatree917;0;4;4;536;0;1;1;1;0;0.497719;0.372053;0.017544;"#ffa584"
SalmaNafeelah;0;1;1;163;0;1;1;1;0;0.418317;0.719816;0;"#4d6400"
harrwto;0;1;1;717;0;1;1;1;0;0.157571;0.845637;0;"#c0c0c0"
jaemimpi;1;0;1;717;0.004568;0;0;0;0;0.163313;0.868677;0;"#c0c0c0"
railgunvelocity;0;2;2;158;0;1;1;1;0;0.628613;0.237235;0.005848;"#853b22"
devprinceps;1;0;1;158;0.004568;0;0;0;0;0.6068;0.19267;0;"#853b22"
JubeBellingham;0;2;2;219;0;2;0.75;0.833333;0;0.760914;0.388519;0.005848;"#c0c0c0"
Kawula_alit;1;0;1;219;0.004568;0;0;0;0;0.805221;0.371643;0;"#c0c0c0"
