"Name","Handle","Timestamp","Content","Comments","Retweets","Likes","Analytics","Tags","Mentions","Tweet Link","Tweet ID","Replying To"
"Bisnis.com","@Bisniscom","2024-10-23T13:08:06.000Z","Unilever Indonesia (UNVR) Pastikan Tak Terdampak Kenaikan PPN 12%","0","0","0","312","[]","[]","https://x.com/Bisniscom/status/1849075326380544229","tweet_id:1849075326380544229","[]"
"KASAYANTO","@Kasayanto_","2024-10-23T12:47:20.000Z","Bisa dong, PPN jadi 12% 1 Januari 2025","0","0","1","54","[]","[]","https://x.com/Kasayanto_/status/1849070101561299116","tweet_id:1849070101561299116","['@geloraco', '@Mayapada0812']"
"wietj","@wietj4k","2024-10-23T12:01:13.000Z","Nah....memang penjilat Mukidiot menghitungnya kenaikan PPN 12 % sesederhana itu.

Fix dongok .... ","1","0","0","57","[]","[]","https://x.com/wietj4k/status/1849058495242305839","tweet_id:1849058495242305839","['@SangGedang5357', '@mozam_05', '@jokowi', '@icik___', '@msaid_didu']"
"annn~","@jnymine","2024-10-23T11:13:04.000Z","Pajak gue rutin dibayar, emg gaboleh mengkritisi negara? Tahun depan ppn 12% mba. Gaji lu yg hasil ngebuzzer mana kena pajak","0","0","1","193","[]","[]","https://x.com/jnymine/status/1849046376996298818","tweet_id:1849046376996298818","['@Mattree29', '@yaniarsim', '@ArayaaVk8429']"
"rlo.ldl","@ultramilkyuju","2024-10-23T10:21:57.000Z","Tololnya mengakar sekali kau nder….. yaudah dah entar TAPERA sama ppn 12% yg milih aja yg kena yg ga milih gausah ikut  ridho bgt sih aku. Btw, mana seprai yang kau janjikan itu????","0","0","7","753","[]","[]","https://x.com/ultramilkyuju/status/1849033514739777829","tweet_id:1849033514739777829","['@unsoedfess_']"
"Kaoru Susu (kayaknya kehack)","@KaoruSusuSapi","2024-10-23T10:07:04.000Z","tahun depan Tapera + PPN 12%. buat bayar tunjangan rumah anggota DPR, ama IKN :V, mentrinya jg banyak sekarang >:V","1","0","0","101","[]","[]","https://x.com/KaoruSusuSapi/status/1849029768336781463","tweet_id:1849029768336781463","['@VRchama']"
"Wahju Wibowo","@wahju_wibowo","2024-10-23T07:29:49.000Z","Pura2 bahagia sih kalau yg di grassroots. Kalau Ppn 12% diberlakukan mereka juga jg bakal merasakan, blm kalau TDL jg naik. Yg benar2 bahagia ya yg dilantik di istana kemarin saja.","0","0","9","996","[]","[]","https://x.com/wahju_wibowo/status/1848990192860033072","tweet_id:1848990192860033072","['@LexWu_13']"
"eca","@xesooz","2024-10-23T06:15:20.000Z","ga puas cuma rep gue harus qrt ini,  makan tuh PPN 12% buat bayarin influencer sama gus gusan itu x.com/unsoedfess_/st
…","0","1","6","218","[]","[]","https://x.com/xesooz/status/1848971449450782771","tweet_id:1848971449450782771","[]"
"wietj","@wietj4k","2024-10-23T06:06:49.000Z","Kalau memang emang taon depan keluarga elu gak nanggung PPN 12 % ,

Dongok... ","1","0","0","44","[]","[]","https://x.com/wietj4k/status/1848969306513854872","tweet_id:1848969306513854872","['@SangGedang5357', '@mozam_05', '@jokowi', '@icik___', '@msaid_didu']"
"Kama Estungkara","@Kamaestungkara","2024-10-23T05:08:40.000Z","Keadaan ekonomi itu sedang tidak baik2. Awal tahun 2025, Ppn 12%, usia kerja bahkan dibawah 25 tahun…so, unless if you have Papa gula, better to improve your skills & flight oversea. Spend 2-4 jam sehari, learning new language, excel & phyton, jgn lupa, ber.do.a","0","1","13","941","[]","[]","https://x.com/Kamaestungkara/status/1848954673480536427","tweet_id:1848954673480536427","[]"
"Kompas.com","@kompascom","2024-10-23T04:32:36.000Z","Direktorat Jenderal Pajak Kementerian Keuangan (DJP Kemenkeu) memastikan, tarif PPN 12 persen berlaku mulai 1 Januari 2025.Ini tanggapan Apindo. dlvr.it/TFdHWQ","0","1","1","1.2K","[]","[]","https://x.com/kompascom/status/1848945597296087452","tweet_id:1848945597296087452","[]"
"BeritaSatu","@Beritasatu","2024-10-23T04:20:14.000Z","Berikut Daftar Barang dan Jasa yang Dikecualikan PPN 12 Persen di 2025 #BNetwork","0","0","0","217","['#BNetwork']","[]","https://x.com/Beritasatu/status/1848942481985179650","tweet_id:1848942481985179650","[]"
"Brigs Lab's","@BrigsOnlineShop","2024-10-23T02:51:55.000Z","ya  wajar aja kalo liat sikon sekarang, kalangan mid menurun daya belinya, kaum pekerja juga byk dapet potongan, belum lagi ke depan ppn 12%. Pajak terus dibebanin tapi hasilnya nihil alias hanya untuk segelintir oknum yg menikmatinya.","0","0","0","165","[]","[]","https://x.com/BrigsOnlineShop/status/1848920257693725089","tweet_id:1848920257693725089","['@susipudjiastuti']"
"chia","@k0pitanpagula","2024-10-23T02:20:37.000Z","gue masih sakit kepala bayangin tahun depan bakal PPN 12%","0","0","0","50","[]","[]","https://x.com/k0pitanpagula/status/1848912381621277097","tweet_id:1848912381621277097","[]"
"Rosé-bey","@newbey_b","2024-10-23T02:04:35.000Z","Tapi rakyatnya hanya jadi penonton dari pertunjukan bagi-bagi jabatan, sementara lapangan kerja terbatas, PHK dimana-mana dan kenaikan PPN 12% di depan mata, yang pasti akan berpengaruh pada semua harga pokok & kebutuhan.

Kalo dalam 100 hari masih belum ada perubahan ya GWS~","0","0","0","42","[]","[]","https://x.com/newbey_b/status/1848908346734350784","tweet_id:1848908346734350784","['@newbey_b']"
"Zennn","@dendroishere","2024-10-23T00:56:18.000Z","oke gas oke gas PPN 12% kita jogetin aja","0","0","1","87","[]","[]","https://x.com/dendroishere/status/1848891161211175078","tweet_id:1848891161211175078","[]"
"Karlina Angela","@tiwtiwwie","2024-10-22T21:12:24.000Z","belum habis ku baca susunan mentri, eh ada wakil mentri....
lalu ku baca lagi ehhh ada kepala badan bagian dpr mpr dll...
harus kerja keras untuk menggaji wakil rakyat. oh iya jangan lupa dikit lagi ppn 12% aja ","1","0","0","54","[]","[]","https://x.com/tiwtiwwie/status/1848834814964838501","tweet_id:1848834814964838501","[]"
"cozyzone","@cozyzone666","2024-10-22T18:14:39.000Z","Sakarepmu jok  , mikir thn ngarep ppn 12%","0","0","0","42","[]","['@jokowi']","https://x.com/cozyzone666/status/1848790082012221478","tweet_id:1848790082012221478","['@tvOneNews']"
"Hunter Sabotase","@HunterSabotase","2024-10-22T15:33:56.000Z","PPN 12 persen. 

Rakyat belanja kebutuhan dipalak pajak.","0","0","2","88","[]","[]","https://x.com/HunterSabotase/status/1848749636326244808","tweet_id:1848749636326244808","[]"
"Bajingan Tolol Nar-sis (Oei Hong Liong)","@Lamno422632","2024-10-22T14:36:24.000Z","Judol, pinjol, sabu, Miras,ppn 12%,pengangguran,begal,lonte,bencong,PKI,semua dari Keputusan POLITIK","0","0","0","68","[]","[]","https://x.com/Lamno422632/status/1848735161095229849","tweet_id:1848735161095229849","['@JaenoXTM']"
"Alexander","@fuk_min","2024-10-22T14:29:16.000Z","Duwek e sopo om...golek ppn 12 %?","0","0","0","117","[]","[]","https://x.com/fuk_min/status/1848733365845037475","tweet_id:1848733365845037475","['@kumparan']"
"rendra wicaksono","@wisono_","2024-10-22T13:59:28.000Z","PPN 12% dari guru honorer :)","1","0","0","51","[]","[]","https://x.com/wisono_/status/1848725865057710369","tweet_id:1848725865057710369","['@danissasha']"
"moch rouf","@roufphysio","2024-10-22T13:52:45.000Z","Yg menolak PPN 12 persen cuman dari fraksi PKS.. konteks presiden punya hak veto untuk mencabut UU secara tiba2 adalah salah jika tidak ada kondisi darurat..
Ini bukan tentang Mulyono bersama kroni2 nya.. lu bakal mengerti jika nanti lu yg jd presiden","1","0","0","49","[]","[]","https://x.com/roufphysio/status/1848724175437107443","tweet_id:1848724175437107443","['@Coming_soon_8', '@AdrianWaworuntu']"
"ERTUGRUL GAZI","@Petanidesa13","2024-10-22T13:46:25.000Z","Efek Ppn 12%","0","0","0","31","[]","[]","https://x.com/Petanidesa13/status/1848722579873534244","tweet_id:1848722579873534244","['@vaniepink']"
"eselon lll kemenkeg","@tmburello","2024-10-22T13:12:47.000Z","jadi PPN 12%","0","0","0","62","[]","[]","https://x.com/tmburello/status/1848714116971827527","tweet_id:1848714116971827527","[]"
"","@wonundaeyo","2024-10-22T11:00:48.000Z","kayaknya salah satu masalah cenblue selain nyari engagement biar dibayar sama elong adalah kecenderungan buat jadi leading opinion…? oot bgt pembahasan dari kemarin kemarin #nooffense mending kita memikirkan kongser tahun depan apakah dah nyangkut ppn 12%","0","0","0","46","['#nooffense']","[]","https://x.com/wonundaeyo/status/1848680899921252408","tweet_id:1848680899921252408","[]"
"wunderwumen","@wunderwumen_","2024-10-22T10:32:05.000Z","Taun depan ppn naik. Bayangin mau makan mau blanja kebutuhan sehari2 aja ppn 12% cuy. Definisi sapi perahnya mereka kali ya kita, secara pajak itu pemasukan terbesar katanya.
Aku juga. Uda di titik yang penting keluargaku sehat, ada rejeki buat hidup. Tapi tetep sebel banget lol","1","0","0","48","[]","[]","https://x.com/wunderwumen_/status/1848673674477637726","tweet_id:1848673674477637726","['@moonanneback']"
"Ary","@aryrhmnsyh","2024-10-22T09:13:00.000Z","Semua semua dikasih jabatan.
Baek bener pak presiden yang baru ini.

*tp inget loh ya, itu semua gak gratis. Apbn menggelembung, dan apa? Yak benar. Pasti ada yg di korbankan*
**ppn 12% udah jelas tuh 1 januari 2025**

Hehehehehehehehehehehehehehehehehehehehehehehehe","0","0","0","66","[]","[]","https://x.com/aryrhmnsyh/status/1848653772840656906","tweet_id:1848653772840656906","[]"
"RAKYAT PAPUA-PRMN","@Papuapikiran1","2024-10-22T07:37:19.000Z","PPn 12%, Apesnya Hidup di Negara Miskin Bernama Indonesia","0","0","0","33","[]","[]","https://x.com/Papuapikiran1/status/1848629693714731356","tweet_id:1848629693714731356","[]"
"masguntur01","@masguntur01","2024-10-22T07:24:20.000Z","Menteri keuangannya masih sama, siap2 pajak makin menggila. Untuk hidangan appetizer, ppn 12%","0","0","0","49","[]","[]","https://x.com/masguntur01/status/1848626424514572606","tweet_id:1848626424514572606","['@jajattea80', '@NOTASLIMBOY']"
